Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,Blurring,VIF,Compression Ratio (%)
referee,SBTND09J,5184,50,4,0,1.4,1.3,4,5,10,36.3689395131046,0.9637857341766356,89.86130201943479,18.75179490133784,4.210417854287027,5.905646308352624,79.08814654988507
referee,91G0EQ19,14016,50,4,0,1.4,1.3,4,5,10,37.09160281676783,0.9747254046797752,85.77691960238229,14.0364595344624,3.975003029832869,5.80110962657536,76.37728845924711
referee,8FWNVX6T,20000,50,4,0,1.4,1.3,4,5,10,37.381087498728846,0.9771156945824624,84.05472217158565,12.077242541790683,3.941713809622888,5.722446981899434,75.67937377116846
referee,5K2KKJOO,576,50,4,0,1.4,1.3,4,5,40,32.98879576588593,0.8932705584168434,92.82435399667234,21.763299661790597,6.786519978143792,6.018297469778811,86.46563317081124
referee,7VU1OM8G,5184,50,4,0,1.4,1.3,4,5,40,36.36427564314083,0.9634998133778572,89.92096691623259,18.652665850455048,4.209973177510317,5.899474300733028,79.17060329959739
referee,98LA87BG,14016,50,4,0,1.4,1.3,4,5,40,37.0927849098557,0.9746815890073776,85.84584007523142,13.868566889359847,3.973611882358349,5.793399694573043,76.40878573665735
referee,KWCBLBWT,20000,50,4,0,1.4,1.3,4,5,40,37.38202118545571,0.977094566822052,84.0635342423804,11.927243794340653,3.9406828573191217,5.717539472415129,75.69164272871475
referee,HX8C8MXQ,576,50,4,0,1.4,1.3,4,5,250,33.028593823508935,0.8932176974415779,90.48664951774694,21.771879107500528,6.847399084755414,6.012200296585648,86.53407638168784
referee,8WD2WLEH,5184,50,4,0,1.4,1.3,4,5,250,36.357133412805545,0.9632955235242844,89.92344099030673,18.669113869810765,4.216468580848581,5.899148857863943,79.19828272520031
referee,NQE5WDR1,14016,50,4,0,1.4,1.3,4,5,250,37.09455280589143,0.9747284877300264,85.757603620515,13.87136170638336,3.972699620985882,5.796080977527003,76.37608747937396
referee,TSQRYRVW,20000,50,4,0,1.4,1.3,4,5,250,37.38416035216036,0.9771205848455428,84.01374819999039,11.85399468011062,3.939852256425581,5.714141526813274,75.68924708991516
referee,6GN5DMLV,576,0,4,0,1.4,1.3,12,5,0,32.948641902779045,0.8883603671193123,93.06736133294751,21.631506812110462,8.321985227302552,5.990456139081791,87.71931077661364
referee,YYSNPZGS,5184,0,4,0,1.4,1.3,12,5,0,36.3985591507822,0.9634949830174446,89.5857110448013,19.417330433054293,4.273572107691027,5.893104968010546,79.43124753680607
referee,DE92Z2KW,14016,0,4,0,1.4,1.3,12,5,0,37.12034363984593,0.9752652904391288,85.24722172067901,14.716293986892945,3.9830566634084126,5.793520730452673,76.41412061567286
referee,6RHAVNNI,20000,0,4,0,1.4,1.3,12,5,0,37.407335201058885,0.9776918905973434,83.48412859881364,12.791058847546106,3.944383093167567,5.728638025655864,75.57449662350831
referee,VVG79KAF,576,0,4,0,1.4,1.3,12,5,10,33.14780241773501,0.8940631183981895,90.30250732662998,21.80657363163749,6.810208794230968,6.0197782809285005,86.4164372426387
referee,O0EWARD8,5184,0,4,0,1.4,1.3,12,5,10,36.44842295994098,0.9647620874643326,89.34073568913965,18.53857912319877,4.208664806785199,5.874406311889145,79.15256963865993
referee,XGDP3X9L,14016,0,4,0,1.4,1.3,12,5,10,37.18809563176881,0.975618590414524,84.88735519386577,13.575905740881367,3.9698530958579727,5.7464063520769,76.39288223475806
referee,RWHGVZIC,20000,0,4,0,1.4,1.3,12,5,10,37.48093125832087,0.9778637742996216,83.23209009211028,11.656044157738432,3.939048161267382,5.66385170797968,75.68181997754168
referee,ZP0O4GNW,576,0,4,0,1.4,1.3,12,5,40,33.0104309767482,0.8936960181593895,92.82947850115742,21.82368054605232,6.75540591501186,6.016597702064042,86.37123615278108
referee,ANWRRDG9,5184,0,4,0,1.4,1.3,12,5,40,36.43908890265786,0.9644646340608596,89.35078609302658,18.41328926947113,4.205887012943932,5.869075893775721,79.23720711498403
referee,NNYJH477,14016,0,4,0,1.4,1.3,12,5,40,37.1833563096352,0.9755428704619408,84.98358030598955,13.412275809302638,3.968658920355799,5.740655295138891,76.43072574265592
referee,TN5U1M4X,20000,0,4,0,1.4,1.3,12,5,40,37.47534688084635,0.9778035187721252,83.24774327859761,11.52557134252231,3.938485930063156,5.659007280414096,75.71659782628963
referee,X199V6TA,576,0,4,0,1.4,1.3,12,5,250,33.018805098257715,0.8935430234670639,90.41411824604548,21.70193722288745,6.817579112143576,6.0165019651813285,86.44954636145764
referee,CLXAM29Q,5184,0,4,0,1.4,1.3,12,5,250,36.435538516232505,0.9643359196186064,89.44189920428238,18.44875998888368,4.2108080598150055,5.870021659593619,79.24656843704796
referee,1J2I7QV5,14016,0,4,0,1.4,1.3,12,5,250,37.18510638157081,0.9755808386206628,84.91098624131945,13.417294112555387,3.96824314121266,5.743495375996653,76.39546118101201
