Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF,Compression Ratio (%)
referee,04OHIB1D,1536,21,4,0,1.4,2.0,4,5,40,34.78378464226876,0.933401512503624,93.83417599464704,20.98334253216577,4.9251882199907095,82.99583165169815
referee,ZWDPC25X,1536,21,4,0,1.4,0.0,8,5,40,34.812769166324216,0.9336445200443269,93.81825323591828,20.98717704368157,4.914617466725943,83.00121077734055
referee,A8FDLQM8,1536,21,4,0,1.4,0.5,8,5,40,34.800870683882366,0.9335910084843636,93.72971814236112,21.00109054104585,4.913473651847843,83.00609054819358
referee,65XMV7CX,1536,21,4,0,1.4,1.0,8,5,40,34.801598941747926,0.9336895555257796,93.59628103780862,20.98694496321532,4.915594846477752,82.97692570011597
referee,I90368LQ,1536,21,4,0,1.4,1.5,8,5,40,34.80564306659655,0.9336294981837272,93.6070268385899,20.977259034173585,4.923509900985903,82.99352450615233
referee,ZRNKWBVX,1536,21,4,0,1.4,2.0,8,5,40,34.810159871188,0.9336092042922972,93.84563941695605,20.97564830954272,4.918327920155554,82.96394247559246
referee,IOPD3V08,1536,21,4,0,1.4,0.0,12,5,40,34.81352435216982,0.933769832253456,93.41573046875,20.973865466385583,4.915017485616335,83.01716484681343
referee,J7T3QVKG,1536,21,4,0,1.4,0.5,12,5,40,34.81314080916921,0.9337975177168846,93.29388325376156,20.9785107633242,4.915263055518768,83.00806268356425
referee,5QTZ0WH9,1536,21,4,0,1.4,1.0,12,5,40,34.817759276703626,0.9337191557884216,93.18365201702352,20.991617334737576,4.913141507057856,83.02930106447903
referee,VQFX42OB,1536,21,4,0,1.4,1.5,12,5,40,34.81485421573076,0.933756839632988,93.2540504786361,20.97347268129082,4.913787875111351,83.02057183708519
referee,W3H4DQVK,1536,21,4,0,1.4,2.0,12,5,40,34.81538214266666,0.933787502348423,93.43234092158563,20.97258232785448,4.909178409454615,82.99487718874632
referee,5M486NCG,1536,21,4,0,1.4,0.0,16,5,40,34.812537712193226,0.9338082021474838,93.33005737485531,20.964605684575904,4.905837410144178,82.97590802769713
referee,54K4ZQFC,1536,21,4,0,1.4,0.5,16,5,40,34.830759120392,0.9338989681005478,93.3724457151813,20.97577800962037,4.90752988902263,82.9901554415608
referee,Y19Y3OD0,1536,21,4,0,1.4,1.0,16,5,40,34.81747368810988,0.9338668233156204,93.26320655984756,20.96961980667123,4.9055500977565325,82.98611003567227
referee,H8U0WGC8,1536,21,4,0,1.4,1.5,16,5,40,34.813910234251395,0.933864557147026,93.06665729890037,20.97039746641048,4.913931504550071,83.01011067029532
referee,37K4ZOP8,1536,21,4,0,1.4,2.0,16,5,40,34.825057272013005,0.9338668650388716,93.64289105179397,20.95393458889805,4.9123188191250495,82.96680586444793
referee,4I0BX6GO,1536,21,4,4,1.4,0.0,1,5,40,35.3808497016257,0.938845566213131,95.74996552854935,21.2215219485238,4.875473204567956,82.66471517972191
referee,A5QSRBKU,1536,21,4,4,1.4,0.5,1,5,40,35.38452398266476,0.9386798828840256,96.213633262201,21.21322268123119,4.878516490708477,82.70941059384346
referee,WC245BMI,1536,21,4,4,1.4,1.0,1,5,40,35.38359864753904,0.938763345181942,96.15994104214889,21.23010138450341,4.876329604094797,82.69579527464987
referee,27FBPLTW,1536,21,4,4,1.4,1.5,1,5,40,35.38311325849989,0.9387966611981392,95.8678642686632,21.21414134543293,4.881379093121191,82.69783694043424
referee,JD92OFIJ,1536,21,4,4,1.4,2.0,1,5,40,35.38414289784243,0.9388031014800072,96.04642605251732,21.207439520102028,4.875791676213688,82.68271091497917
referee,T35ZZIU9,1536,21,4,4,1.4,0.0,4,5,40,35.395677516780125,0.9385122022032738,96.66277746431328,20.99343352380056,4.948638646593199,82.72767812980885
referee,YLBZ1USP,1536,21,4,4,1.4,0.5,4,5,40,35.39217284134958,0.93838358938694,96.73439289761762,20.997899974899127,4.957665194648751,82.7447130811676
referee,1DOMPJH9,1536,21,4,4,1.4,1.0,4,5,40,35.39793926126389,0.9384299355745316,96.82452559919945,20.9911291975498,4.955957044795125,82.74667889559156
referee,ZBNFQOLM,1536,21,4,4,1.4,1.5,4,5,40,35.394931049285866,0.9383383709192276,96.47956786265436,21.007677837274016,4.957091222450552,82.72906241713633
referee,1ON3GTA9,1536,21,4,4,1.4,2.0,4,5,40,35.396151842152406,0.9384524983167648,96.67375092230908,20.987020062055027,4.95450049017905,82.73812665470534
referee,RYGU0F4P,1536,21,4,4,1.4,0.0,8,5,40,35.42227262250087,0.9388576987385748,96.49653171537426,20.934064660381186,4.970001332275476,82.73379048526857
